PLR_NAME,BEZ_NAME,rang_hitze,rang_gruen,hitze_gruen_score,rang_sozial
Karl-Marx-Allee,Mitte,52.4,48.0,100.4,53.9
Sundgauer Straße,Steglitz-Zehlendorf,65.5,33.9,99.4,24.0
Falkenberg West,Lichtenberg,33.9,65.5,99.4,71.2
Odenwaldstraße,Tempelhof-Schöneberg,54.8,44.5,99.3,18.1
Schwedenstraße,Mitte,47.8,51.3,99.1,95.0
Feuerbachstraße,Steglitz-Zehlendorf,55.0,43.7,98.7,36.5
Hildegardstraße,Charlottenburg-Wilmersdorf,43.5,54.6,98.1,23.6
Zwinglistraße,Mitte,43.7,54.1,97.8,87.3
Karlshorst Süd,Lichtenberg,58.3,39.3,97.6,5.2
Reuterplatz,Neukölln,47.4,50.0,97.4,77.7
Florakiez,Pankow,48.3,49.1,97.4,27.5
Park am Buschkrug,Neukölln,39.3,57.4,96.7,91.9
Goerzwerke,Steglitz-Zehlendorf,32.5,64.0,96.5,16.2
Lübecker Straße,Mitte,48.7,47.0,95.7,92.8
Tiroler Viertel,Pankow,52.6,43.0,95.6,31.4
Antonstraße,Mitte,48.2,47.4,95.6,95.2
Hindemithplatz,Charlottenburg-Wilmersdorf,46.5,48.7,95.2,37.8
Landsberger Allee,Lichtenberg,50.7,44.3,95.0,61.1
